"name","description","category","url"
"Facebook","Communicate with friends and family","Facebook","http://mobile.facebook.com/"
"24symbols","Read books online","Learning","http://io.24symbols.net/?locale=en&books_locale=en"
"99hacking","learn hacking","Learning","http://www.99hacking.com/"
"Aaj Tak","Read news in Hindi","News and Weather","http://m.aajtak.in/"
"AccuWeather","Get updated weather information","News and Weather","http://m.accuweather.com/en/in/india-weather?partner=internetorg&unit=c"
"Acno Tech","Web designing and development","Communication","http://www.acnotech.ml/"
"AglaSem Admission","Admission","Learning","http://admission.aglasem.com/"
"aglasem.com","Updated. Authentic. Free.","Learning","http://aglasem.com/"
"amarujala.com","Read news in Hindi","News and Weather","http://m.amarujala.com/"
"AnatomyAtlases.org","An anatomy digital library","Health and Safety","http://www.anatomyatlases.org/"
"AP Speaks","Engage with local government","Communication","http://www.apspeaks.com/html"
"Army Calling","Join Indian Army","Learning","http://mob.armycalling.com/"
"Ask.com","Find information","Learning","http://in.ask.com/"
"Babajob","Search for jobs","Jobs","https://www.babajob.com/mo/j.aspx?l=en&url=%2Fmo%2FHome.aspx"
"BabyCenter & MAMA","Learn about pregnancy and children","Women and Girls","http://in.mama.hub.unicore.io/"
"bankersadda.com","good","Learning","http://www.bankersadda.com/"
"BBC News","Read news from around the world","News and Weather","http://m.bbc.com/news"
"BBC বাংলা","পড়ুন সর্বশেষ বিশ্বসংবাদ","News and Weather","http://www.bbc.com/bengali"
"Bing","Search for information","Learning","http://m.bing.com/?setlang=en&PC=FBIO"
"Blogging","Learn To Make Money Blogging","Communication","http://www.Blogging.co.in/"
"Boldsky","Lifestyle Website","Health and Safety","http://www.boldsky.com/"
"Boost Apps","Free Mobile Java Games and Apps","Communication","http://boostapps.com/"
"BuzzFeed","News. Buzz. Life.","News and Weather","http://www.buzzfeed.com/?s=bflite"
"Campus Karma","Campus social networking website","Learning","http://www.campuskarma.in/"
"CareerIndia","Education Portal Site","Learning","http://www.careerindia.com/"
"Daily Bhaskar","Read local news","News and Weather","http://mdailyfb.bhaskar.com/"
"DailyGKCapsule","One Site For All Educational Needs","Learning","http://dailygkcapsule.com/"
"Damadam","Chatting, gupshup, friends","Communication","http://damadam.in/"
"dhandhadiary","it is business Listing website.","Communication","http://dhandhadiary.com/"
"Dictionary.com","Search for meanings of words","Learning","http://dictionary.reference.com/"
"Diffusion Education Game Portal","Interactive Public Health Games","Health and Safety","http://us.diffusionmmti.org/"
"Drivespark","Automobile Information Website","News and Weather","http://www.drivespark.com/"
"English Dost","Learn English","Learning","http://m.englishdost.in/"
"ESPN Cricinfo","Get cricket updates","Sports and Entertainment","http://phone.espncricinfo.com/"
"ESPN.com","Sports news, scores and coverage","Sports and Entertainment","http://m.espn.go.com/wireless"
"EStreet","Designing, Development","Communication","http://www.estreet.in/"
